name,id,description
Parque Estadual Araucárias (SC),3547,nature reserve in Brazil (Parque Estadual)
Área de Proteção Ambiental Área Estuarina do Canal de Santa Cruz,1255,nature reserve in Brazil (Área de Proteção Ambiental)
Área de Proteção Ambiental Área Estuarina do Rio Beberibe,1258,nature reserve in Brazil (Área de Proteção Ambiental)
Área de Proteção Ambiental Área Estuarina do Rio Capibaribe,1259,nature reserve in Brazil (Área de Proteção Ambiental)
Área de Proteção Ambiental Área Estuarina do Rio Carro Quebrado,1263,nature reserve in Brazil (Área de Proteção Ambiental)
Área de Proteção Ambiental Área Estuarina do Rio Formoso,1262,nature reserve in Brazil (Área de Proteção Ambiental)
Área de Proteção Ambiental Área Estuarina do Rio Itapessoca,1252,nature reserve in Brazil (Área de Proteção Ambiental)
Área de Proteção Ambiental Área Estuarina do Rio Jaguaribe,1254,nature reserve in Brazil (Área de Proteção Ambiental)
Área de Proteção Ambiental Área Estuarina do Rio Paratibe,1257,nature reserve in Brazil (Área de Proteção Ambiental)
Área de Proteção Ambiental Área Estuarina do Rio Timbó,1256,nature reserve in Brazil (Área de Proteção Ambiental)
Área de Proteção Ambiental Área Estuarina do Rio Una,1264,nature reserve in Brazil (Área de Proteção Ambiental)
Área de Proteção Ambiental Área Estuarina dos Rios Goiana e Megaó,1251,nature reserve in Brazil (Área de Proteção Ambiental)
Área de Proteção Ambiental Área Estuarina dos Rios Jaboatão e Pirapama,1260,nature reserve in Brazil (Área de Proteção Ambiental)
Área de Proteção Ambiental Área Estuarina dos Rios Sirinhaém e Maracaipe,1261,nature reserve in Brazil (Área de Proteção Ambiental)
Estação Ecológica Arêdes,5394,nature reserve in Brazil (Estação Ecológica)
Reserva Extrativista Arióca Pruanã,4450,nature reserve in Brazil (Reserva Extrativista)
Floresta Nacional Aripuanã,4848,nature reserve in Brazil (Floresta Nacional)
Floresta Estadual Aripuanã,4259,nature reserve in Brazil (Floresta Estadual)
Reserva de Desenvolvimento Sustentável Aripuanã,4262,nature reserve in Brazil (Reserva de Desenvolvimento Sustentável)
Reserva Biológica Arqueológica de Guaratiba,2186,nature reserve in Brazil (Reserva Biológica)
Refúgio de Vida Silvestre Arquipélago de Alcatrazes,5203,nature reserve in Brazil (Refúgio de Vida Silvestre)
Monumento Natural Arquipélago de São Pedro e São Paulo,5519,nature reserve in Brazil (Monumento Natural)
Área de Proteção Ambiental Arquipelago de Trindade e Martim Vaz,5476,nature reserve in Brazil (Área de Proteção Ambiental)
Área de Proteção Ambiental Arquipélago do Marajó,1362,nature reserve in Brazil (Área de Proteção Ambiental)
Área de Proteção Ambiental Arquipélago Fernando de Noronha,2796,nature reserve in Brazil (Área de Proteção Ambiental)
Área de Proteção Ambiental Arquipélago São Pedro e São Paulo,5475,nature reserve in Brazil (Área de Proteção Ambiental)
Monumento Natural Árvores Fossilizadas do Estado do Tocantins,2963,nature reserve in Brazil (Monumento Natural)
Estação Ecológica Assis (ESEC),960,nature reserve in Brazil (Estação Ecológica)
Floresta Estadual Assis (FES),2768,nature reserve in Brazil (Floresta Estadual)
Floresta Nacional Assungui,1297,nature reserve in Brazil (Floresta Nacional)
Monumento Natural Atalaia,5234,nature reserve in Brazil (Monumento Natural)
Reserva Biológica Atol das Rocas,1007,nature reserve in Brazil (Reserva Biológica)
Reserva Extrativista Auatí-Paraná,1397,nature reserve in Brazil (Reserva Extrativista)
Reserva Biológica Augusto Ruschi,990,nature reserve in Brazil (Reserva Biológica)
Floresta Estadual Avaré,1068,nature reserve in Brazil (Floresta Estadual)
Estação Ecológica Avaré,6029,nature reserve in Brazil (Estação Ecológica)
Floresta Estadual Avaré II,5656,nature reserve in Brazil (Floresta Estadual)
Parque Estadual Bacanga,762,nature reserve in Brazil (Parque Estadual)
Área de Proteção Ambiental Bacia do Cobre/São Bartolomeu,2952,nature reserve in Brazil (Área de Proteção Ambiental)
Área de Proteção Ambiental Bacia do Rio de Janeiro,1018,nature reserve in Brazil (Área de Proteção Ambiental)
Área de Proteção Ambiental Bacia do Rio Descoberto,1304,nature reserve in Brazil (Área de Proteção Ambiental)
Área de Proteção Ambiental Bacia do Rio Pratagi,2063,nature reserve in Brazil (Área de Proteção Ambiental)
Área de Proteção Ambiental Bacia do Rio São Bartolomeu,1305,nature reserve in Brazil (Área de Proteção Ambiental)
Área de Proteção Ambiental Bacia do Rio São João/Mico-Leão-Dourado,3202,nature reserve in Brazil (Área de Proteção Ambiental)
Área de Proteção Ambiental Bacia Hidrográfica do Rio Machado,3423,nature reserve in Brazil (Área de Proteção Ambiental)
Área de Proteção Ambiental Bacia Hidrográfica do Rio Uberaba,3421,nature reserve in Brazil (Área de Proteção Ambiental)
Área de Proteção Ambiental Bacias do Gama e Cabeça-do-Veado,1302,nature reserve in Brazil (Área de Proteção Ambiental)
Área de Proteção Ambiental Baía de Camamu,3564,nature reserve in Brazil (Área de Proteção Ambiental)
Área de Proteção Ambiental Baía de Todos os Santos,2849,nature reserve in Brazil (Área de Proteção Ambiental)
Reserva Extrativista Baía do Tubarão,5455,nature reserve in Brazil (Reserva Extrativista)
Área de Proteção Ambiental Baia Negra,5212,nature reserve in Brazil (Área de Proteção Ambiental)
Área de Proteção Ambiental Bairro da Usina,953,nature reserve in Brazil (Área de Proteção Ambiental)
Área de Proteção Ambiental Baixada Maranhense,785,nature reserve in Brazil (Área de Proteção Ambiental)
Reserva Extrativista Baixo Juruá,1395,nature reserve in Brazil (Reserva Extrativista)
Reserva Extrativista Baixo Rio Branco-Jauaperi,4473,nature reserve in Brazil (Reserva Extrativista)
Floresta Nacional Balata-Tufari,4266,nature reserve in Brazil (Floresta Nacional)
Área de Proteção Ambiental Baleia Franca,2581,nature reserve in Brazil (Área de Proteção Ambiental)
Estação Ecológica Bananal,905,nature reserve in Brazil (Estação Ecológica)
Área de Proteção Ambiental Banhado,3447,nature reserve in Brazil (Área de Proteção Ambiental)
Refúgio de Vida Silvestre Banhado do Maçarico,5654,nature reserve in Brazil (Refúgio de Vida Silvestre)
Refúgio de Vida Silvestre Banhado dos Pachecos,2167,nature reserve in Brazil (Refúgio de Vida Silvestre)
Área de Proteção Ambiental Banhado Grande,3040,nature reserve in Brazil (Área de Proteção Ambiental)
Estação Ecológica Banhados do Iguape,4470,nature reserve in Brazil (Estação Ecológica)
Reserva de Desenvolvimento Sustentável Bararati,4255,nature reserve in Brazil (Reserva de Desenvolvimento Sustentável)
Área de Proteção Ambiental Barra do Rio Mamanguape,932,nature reserve in Brazil (Área de Proteção Ambiental)
Reserva de Desenvolvimento Sustentável Barra do Una,4770,nature reserve in Brazil (Reserva de Desenvolvimento Sustentável)
Reserva de Desenvolvimento Sustentável Barreiro Anhemas,4931,nature reserve in Brazil (Reserva de Desenvolvimento Sustentável)
Reserva Extrativista Barreiro das Antas,1398,nature reserve in Brazil (Reserva Extrativista)
Estação Ecológica Barreiro Rico,5487,nature reserve in Brazil (Estação Ecológica)
Área de Proteção Ambiental Barreiro Rico,6023,nature reserve in Brazil (Área de Proteção Ambiental)
Floresta Estadual Batatais,2788,nature reserve in Brazil (Floresta Estadual)
Reserva Extrativista Batoque,3523,nature reserve in Brazil (Reserva Extrativista)
Floresta Estadual Bebedouro,2789,nature reserve in Brazil (Floresta Estadual)
Área de Proteção Ambiental Bica do Ipu,2800,nature reserve in Brazil (Área de Proteção Ambiental)
Reserva Biológica Biodiversidade COP9 MOP4,6067,nature reserve in Brazil (Reserva Biológica)
Parque Estadual Biribiri,2815,nature reserve in Brazil (Parque Estadual)
Estação Ecológica Bita e Utinga,5482,nature reserve in Brazil (Estação Ecológica)
Parque Nacional Boa Nova,4697,nature reserve in Brazil (Parque Nacional)
Refúgio de Vida Silvestre Boa Nova (RVS),4698,nature reserve in Brazil (Refúgio de Vida Silvestre)
Parque Estadual Boguaçu,2436,nature reserve in Brazil (Parque Estadual)
Floresta Nacional Bom Futuro,639,nature reserve in Brazil (Floresta Nacional)
Reserva de Desenvolvimento Sustentável Bom Jardim,5558,nature reserve in Brazil (Reserva de Desenvolvimento Sustentável)
Reserva Biológica Bom Jesus,5302,nature reserve in Brazil (Reserva Biológica)
Área de Proteção Ambiental Bonfim/Guaraíra,2563,nature reserve in Brazil (Área de Proteção Ambiental)
Área de Proteção Ambiental Boqueirão da Onça,5567,nature reserve in Brazil (Área de Proteção Ambiental)
Parque Nacional Boqueirão da Onça,5115,nature reserve in Brazil (Parque Nacional)
Área de Proteção Ambiental Boqueirão do Rio Poti,6069,nature reserve in Brazil (Área de Proteção Ambiental)
Área de Relevante Interesse Ecológico Bosque,3090,nature reserve in Brazil (Área de Relevante Interesse Ecológico)
Parque Estadual Botânico do Ceará,3010,nature reserve in Brazil (Parque Estadual)
Floresta Estadual Botucatu,1072,nature reserve in Brazil (Floresta Estadual)
Parque Estadual Botumirim,6044,nature reserve in Brazil (Parque Estadual)
Estação Ecológica Bracinho,2272,nature reserve in Brazil (Estação Ecológica)
Floresta Nacional Brasília (FLONA),2529,nature reserve in Brazil (Floresta Nacional)
Parque Nacional Brasília (PARNA),1279,nature reserve in Brazil (Parque Nacional)
Área de Relevante Interesse Ecológico Buriti,1270,nature reserve in Brazil (Área de Relevante Interesse Ecológico)
Área de Relevante Interesse Ecológico Buriti de Vassununga,894,nature reserve in Brazil (Área de Relevante Interesse Ecológico)
Reserva Biológica de Uso Sustentável Florestal Caatinga,5614,nature reserve in Brazil (Reserva Biológica de Uso Sustentável Florestal)
CEC Caatinga,4472,nature reserve in Brazil (CEC)
Parque Estadual Cabeça do Cachorro (ARIE),1269,nature reserve in Brazil (Parque Estadual)
Refúgio de Vida Silvestre Cabeceiras do Capibaribe,6062,nature reserve in Brazil (Refúgio de Vida Silvestre)
Área de Proteção Ambiental Cabeceiras do Rio Cuiabá,1348,nature reserve in Brazil (Área de Proteção Ambiental)
Parque Nacional Cabo Orange,592,nature reserve in Brazil (Parque Nacional)
Área de Proteção Ambiental Cabreúva,973,nature reserve in Brazil (Área de Proteção Ambiental)
Floresta Nacional Caçador (FLONA),1293,nature reserve in Brazil (Floresta Nacional)
Parque Estadual Cachoeira da Fumaça (PES),1021,nature reserve in Brazil (Parque Estadual)
Área de Proteção Ambiental Cachoeira das Andorinhas,2098,nature reserve in Brazil (Área de Proteção Ambiental)
Monumento Natural Cachoeira do Ferro Doido,3084,nature reserve in Brazil (Monumento Natural)
Monumento Natural Cachoeira do Rio Batateira,6077,nature reserve in Brazil (Monumento Natural)
Área de Proteção Ambiental Cachoeira do Urubu,3055,nature reserve in Brazil (Área de Proteção Ambiental)
Estação Ecológica Caetés,1221,nature reserve in Brazil (Estação Ecológica)
Estação Ecológica Caetetus,920,nature reserve in Brazil (Estação Ecológica)
Área de Proteção Ambiental Cafuringa,1301,nature reserve in Brazil (Área de Proteção Ambiental)
Área de Proteção Ambiental Cairuçu,942,nature reserve in Brazil (Área de Proteção Ambiental)
Estação Ecológica Caiuá,1183,nature reserve in Brazil (Estação Ecológica)
Área de Proteção Ambiental Cajamar,971,nature reserve in Brazil (Área de Proteção Ambiental)
Área de Proteção Ambiental Cajati,4939,nature reserve in Brazil (Área de Proteção Ambiental)
Floresta Estadual Cajuru,1079,nature reserve in Brazil (Floresta Estadual)
Parque Estadual Camaquã,2292,nature reserve in Brazil (Parque Estadual)
