name,ID,Description
APA Arquipélago Fernando de Noronha,2796,nature reserve in Brazil (APA)
APA Arquipélago São Pedro e São Paulo,5475,nature reserve in Brazil (APA)
MONAT Árvores Fossilizadas do Estado do Tocantins,2963,nature reserve in Brazil (MONAT)
ESEC Assis (ESEC),960,nature reserve in Brazil (ESEC)
FES Assis (FES),2768,nature reserve in Brazil (FES)
FLONA Assungui,1297,nature reserve in Brazil (FLONA)
MONAT Atalaia,5234,nature reserve in Brazil (MONAT)
REBIO Atol das Rocas,1007,nature reserve in Brazil (REBIO)
RESEX Auatí-Paraná,1397,nature reserve in Brazil (RESEX)
REBIO Augusto Ruschi,990,nature reserve in Brazil (REBIO)
FES Avaré,1068,nature reserve in Brazil (FES)
ESEC Avaré,6029,nature reserve in Brazil (ESEC)
FES Avaré II,5656,nature reserve in Brazil (FES)
PES Bacanga,762,nature reserve in Brazil (PES)
APA Bacia do Cobre/São Bartolomeu,2952,nature reserve in Brazil (APA)
APA Bacia do Rio de Janeiro,1018,nature reserve in Brazil (APA)
APA Bacia do Rio Descoberto,1304,nature reserve in Brazil (APA)
APA Bacia do Rio Pratagi,2063,nature reserve in Brazil (APA)
APA Bacia do Rio São Bartolomeu,1305,nature reserve in Brazil (APA)
APA Bacia do Rio São João/Mico-Leão-Dourado,3202,nature reserve in Brazil (APA)
APA Bacia Hidrográfica do Rio Machado,3423,nature reserve in Brazil (APA)
APA Bacia Hidrográfica do Rio Uberaba,3421,nature reserve in Brazil (APA)
APA Bacias do Gama e Cabeça-do-Veado,1302,nature reserve in Brazil (APA)
APA Baía de Camamu,3564,nature reserve in Brazil (APA)
APA Baía de Todos os Santos,2849,nature reserve in Brazil (APA)
RESEX Baía do Tubarão,5455,nature reserve in Brazil (RESEX)
APA Baia Negra,5212,nature reserve in Brazil (APA)
APA Bairro da Usina,953,nature reserve in Brazil (APA)
APA Baixada Maranhense,785,nature reserve in Brazil (APA)
RESEX Baixo Juruá,1395,nature reserve in Brazil (RESEX)
RESEX Baixo Rio Branco-Jauaperi,4473,nature reserve in Brazil (RESEX)
FLONA Balata-Tufari,4266,nature reserve in Brazil (FLONA)
APA Baleia Franca,2581,nature reserve in Brazil (APA)
ESEC Bananal,905,nature reserve in Brazil (ESEC)
APA Banhado,3447,nature reserve in Brazil (APA)
RVS Banhado do Maçarico,5654,nature reserve in Brazil (RVS)
RVS Banhado dos Pachecos,2167,nature reserve in Brazil (RVS)
APA Banhado Grande,3040,nature reserve in Brazil (APA)
ESEC Banhados do Iguape,4470,nature reserve in Brazil (ESEC)
RDS Bararati,4255,nature reserve in Brazil (RDS)
APA Barra do Rio Mamanguape,932,nature reserve in Brazil (APA)
RDS Barra do Una,4770,nature reserve in Brazil (RDS)
RDS Barreiro Anhemas,4931,nature reserve in Brazil (RDS)
RESEX Barreiro das Antas,1398,nature reserve in Brazil (RESEX)
ESEC Barreiro Rico,5487,nature reserve in Brazil (ESEC)
APA Barreiro Rico,6023,nature reserve in Brazil (APA)
FES Batatais,2788,nature reserve in Brazil (FES)
RESEX Batoque,3523,nature reserve in Brazil (RESEX)
FES Bebedouro,2789,nature reserve in Brazil (FES)
APA Bica do Ipu,2800,nature reserve in Brazil (APA)
REBIO Biodiversidade COP9 MOP4,6067,nature reserve in Brazil (REBIO)
PES Biribiri,2815,nature reserve in Brazil (PES)
ESEC Bita e Utinga,5482,nature reserve in Brazil (ESEC)
PARNA Boa Nova,4697,nature reserve in Brazil (PARNA)
RVS Boa Nova (RVS),4698,nature reserve in Brazil (RVS)
PES Boguaçu,2436,nature reserve in Brazil (PES)
FLONA Bom Futuro,639,nature reserve in Brazil (FLONA)
RDS Bom Jardim,5558,nature reserve in Brazil (RDS)
REBIO Bom Jesus,5302,nature reserve in Brazil (REBIO)
APA Bonfim/Guaraíra,2563,nature reserve in Brazil (APA)
APA Boqueirão da Onça,5567,nature reserve in Brazil (APA)
PARNA Boqueirão da Onça,5115,nature reserve in Brazil (PARNA)
APA Boqueirão do Rio Poti,6069,nature reserve in Brazil (APA)
ARIE Bosque,3090,nature reserve in Brazil (ARIE)
PES Botânico do Ceará,3010,nature reserve in Brazil (PES)
FES Botucatu,1072,nature reserve in Brazil (FES)
PES Botumirim,6044,nature reserve in Brazil (PES)
ESEC Bracinho,2272,nature reserve in Brazil (ESEC)
FLONA Brasília (FLONA),2529,nature reserve in Brazil (FLONA)
PARNA Brasília (PARNA),1279,nature reserve in Brazil (PARNA)
ARIE Buriti,1270,nature reserve in Brazil (ARIE)
ARIE Buriti de Vassununga,894,nature reserve in Brazil (ARIE)
RBIOSF Caatinga,5614,nature reserve in Brazil (RBIOSF)
CEC Caatinga,4472,nature reserve in Brazil (CEC)
PES Cabeça do Cachorro (ARIE),1269,nature reserve in Brazil (PES)
RVS Cabeceiras do Capibaribe,6062,nature reserve in Brazil (RVS)
APA Cabeceiras do Rio Cuiabá,1348,nature reserve in Brazil (APA)
PARNA Cabo Orange,592,nature reserve in Brazil (PARNA)
APA Cabreúva,973,nature reserve in Brazil (APA)
FLONA Caçador (FLONA),1293,nature reserve in Brazil (FLONA)
PES Cachoeira da Fumaça (PES),1021,nature reserve in Brazil (PES)
APA Cachoeira das Andorinhas,2098,nature reserve in Brazil (APA)
MONAT Cachoeira do Ferro Doido,3084,nature reserve in Brazil (MONAT)
MONAT Cachoeira do Rio Batateira,6077,nature reserve in Brazil (MONAT)
APA Cachoeira do Urubu,3055,nature reserve in Brazil (APA)
ESEC Caetés,1221,nature reserve in Brazil (ESEC)
ESEC Caetetus,920,nature reserve in Brazil (ESEC)
APA Cafuringa,1301,nature reserve in Brazil (APA)
APA Cairuçu,942,nature reserve in Brazil (APA)
ESEC Caiuá,1183,nature reserve in Brazil (ESEC)
APA Cajamar,971,nature reserve in Brazil (APA)
APA Cajati,4939,nature reserve in Brazil (APA)
FES Cajuru,1079,nature reserve in Brazil (FES)
PES Camaquã,2292,nature reserve in Brazil (PES)
ARIE Cambeba,5649,nature reserve in Brazil (ARIE)
PES Caminho dos Gerais,4822,nature reserve in Brazil (PES)
APA Caminhos Ecológicos da Boa Esperança,3565,nature reserve in Brazil (APA)
RDS Campina,6104,nature reserve in Brazil (RDS)
PES Campina do Encantado,850,nature reserve in Brazil (PES)
PES Campinhos,2240,nature reserve in Brazil (PES)
RDS Campo das Mangabas,5380,nature reserve in Brazil (RDS)
PES Campos Altos,5522,nature reserve in Brazil (PES)
PARNA Campos Amazônicos,4483,nature reserve in Brazil (PARNA)
APA Campos de Manicoré,5432,nature reserve in Brazil (APA)
RVS Campos de Palmas,4471,nature reserve in Brazil (RVS)
APA Campos do Jordão (APA),972,nature reserve in Brazil (APA)
PES Campos do Jordão (PES),1063,nature reserve in Brazil (PES)
PARNA Campos Ferruginosos,5447,nature reserve in Brazil (PARNA)
PARNA Campos Gerais,4457,nature reserve in Brazil (PARNA)
APA Cananéia - Iguape - Peruíbe,967,nature reserve in Brazil (APA)
RESEX Canavieiras,4481,nature reserve in Brazil (RESEX)
FLONA Canela,1290,nature reserve in Brazil (FLONA)
REBIO Canela Preta,1153,nature reserve in Brazil (REBIO)
PES Cânion Cearense do Rio Poti,6068,nature reserve in Brazil (PES)
PES Cânion do Rio Poti,3058,nature reserve in Brazil (PES)
MONAT Canions do Subaé,5497,nature reserve in Brazil (MONAT)
RVS Canjerana,3096,nature reserve in Brazil (RVS)
PES Cantão,1407,nature reserve in Brazil (PES)
PES Cantareira,5002,nature reserve in Brazil (PES)
PES Canudos,2083,nature reserve in Brazil (PES)
